2382  62180000  815151300
2362  62170400  815152900
2414  62089600  815242100
2381  62190500  815158800
2366  62176900  815145500
2438  62186600  815354600
2292  62186000  815235700
2418  62107300  815200000
2277  62107200  815200000
426  62098700  815223900
424  62086000  815250400
517  62419500  815522100
516  62415700  815521700
2486  62400600  815499000
498  62427200  815547100
496  62426200  815551600
494  62425300  815555700
491  62424000  815561900
487  62422900  815567000
484  62422000  815571100
451  62295500  815480800
480  62420800  815577300
476  62419800  815582400
425  62312900  815448700
509  62400300  815561800
473  62418900  815587400
2301  62290800  815479000
506  62395500  815560600
469  62418100  815591500
504  62390000  815559200
465  62416900  815597700
528  62396400  815582400
2267  62252800  815494600
527  62391100  815581200
2296  62316300  815430900
2467  62324700  815413000
2465  62327300  815408200
2464  62327400  815414000
2328  62258200  815418600
2449  62220400  815361500
2448  62223000  815355300
2439  62196100  815356000
2294  62191200  815233300
2288  62214600  815222000
547  62132400  815157100
551  62115400  815177200
550  62113700  815177600
420  62113100  815177700
427  62115700  815171300
2396  62122100  815191100
442  62159600  815134100
2278  62106300  815198500
440  62155300  815130600
2344  62170500  815199900
433  62169700  815102100
457  62168100  815131800
2408  62090000  815238200
2411  62088500  815241400
2378  62203700  815166900
2374  62199500  815184200
